perfume,brand,gender,rating_value,rating_count,year,mainaccord1,mainaccord2,mainaccord3,mainaccord4,notes,luxury_or_cheap
true-glow,avon,women,3.81,581,,floral,fruity,musky,woody,"red apple, citruses, freesia, woody notes, passion flower, lotus, musk, amber",cheap
unscripted,avon,men,3.81,125,2008.0,woody,aromatic,warm spicy,fresh spicy,"black pepper, cardamom, anise, fig, lavender, violet, vetiver, patchouli, cedar",cheap
festive-glow-glamstyle,avon,women,3.81,31,2020.0,white floral,other,cherry,sweet,"cherry, jasmine sambac, vanilla",cheap
elite-gentleman,avon,men,3.81,229,2013.0,woody,aromatic,warm spicy,fresh spicy,"cardamom, bergamot, basil, spruce, cognac, cedar, olibanum",cheap
encanto-gorgeous,avon,women,3.81,42,2022.0,woody,other,sweet,powdery,"petitgrain, ylang-ylang, sandalwood",cheap
imari-blossom,avon,women,3.81,91,2013.0,woody,other,fruity,powdery,"apple, iris, woody notes",cheap
velvet-imari,avon,women,3.81,26,1997.0,citrus,white floral,amber,rose,"bergamot, mandarin orange, rose, jasmine, lily-of-the-valley, amber, musk, vanilla",cheap
perceive-oasis,avon,women,3.81,275,2015.0,floral,other,musky,rose,"violet leaf, peony, white musk",cheap
petit-attitude-bee,avon,women,3.81,294,2019.0,citrus,other,white floral,honey,"mandarin orange, sugar, pomelo, acai berry, orange blossom, honeysuckle, jasmine, honey, precious woods, vanilla",cheap
summer-white-hawaii,avon,women,3.81,73,2022.0,citrus,other,fresh,tropical,"coconut, citruses, apple, frangipani, rose, jasmine, coconut, driftwood, white musk",cheap
love-don-t-be-shy-anniversary-edition,by-kilian,women,3.81,63,2022.0,white floral,other,sweet,powdery,"neroli, pink pepper, coriander, bergamot, honeysuckle, orange blossom, jasmine, iris, rose, musk, marshmallow, vanilla, labdanum, caramel",luxury
yes-i-was-madly-in-love-but-that-was-yesterday,by-kilian,unisex,3.81,333,2018.0,other,fruity,white floral,animalic,"raspberry, white tobacco, leather",luxury
good-girl-gone-bad,by-kilian,women,3.81,5873,2012.0,floral,white floral,fruity,tuberose,"osmanthus, jasmine, may rose, indian tuberose, narcissus, amber, cedar",luxury
good-girl-gone-bad-eau-fraiche,by-kilian,women,3.81,334,2020.0,white floral,other,musky,tuberose,"tunisian orange blossom, turkish rose, moroccan rose, watery notes, egyptian jasmine, tuberose, musk",luxury
loulou,cacharel,women,3.81,9757,1987.0,other,other,vanilla,warm spicy,"plum, chinese cinnamon wood, iris, violet, lily, anise, jasmine, mimosa, cassia, ylang-ylang, heliotrope, orris root, orange blossom, tahitian tiare flower, incense, vanilla, benzoin, sandalwood, musk",cheap
anais-anais-premier-delice-l-eau,cacharel,women,3.81,64,2015.0,fruity,other,white floral,citrus,"pear, sorbet, bergamot, grapefruit, freesia, jasmine, lily-of-the-valley, ambretone, cedar, musk",cheap
obsessed-for-women-intense,calvin-klein,women,3.81,289,2018.0,other,other,amber,lavender,"elemi, citruses, mandarin orange, lavender, sage, violet leaf, musk, amber, labdanum",cheap
carolina-herrera-by-carolina-herrera,carolina-herrera,women,3.81,1814,1988.0,white floral,other,green,animalic,"apricot, orange blossom, green notes, brazilian rosewood, bergamot, indian tuberose, jasmine, spanish jasmine, ylang-ylang, honeysuckle, narcissus, hiacynth, lily-of-the-valley, civet, musk, oakmoss, amber, sandalwood, vetiver, cedar",luxury
good-girl-blush-elixir-eau-de-parfum,carolina-herrera,women,3.81,502,2024.0,other,woody,yellow floral,patchouli,"bergamot, mandarin orange, ylang ylang, rose, vanilla, patchouli",luxury
ambre-cannelle,creed,unisex,3.81,63,1949.0,other,other,warm spicy,fruity,"red berries, bergamot, tincture of rose, coriander, amber, spices, vanille",luxury
chevrefeuille,creed,unisex,3.81,79,1982.0,other,white floral,amber,fresh,"green leaves, honeysuckle, honeysuckle, green grass, ambergris",luxury
5th-avenue-pulse,elizabeth-arden,women,3.81,26,2023.0,other,other,fruity,vanilla,"black currant, pink pepper, tuberose, magnolia, coffee, tonka bean, sandalwood",cheap
green-tea-lavender,elizabeth-arden,women,3.81,1000,2010.0,other,aromatic,green,citrus,"amalfi lemon, chamomile, mint, mandarin orange, lavender, tea, magnolia, musk, ambrette (musk mallow), birch",cheap
untold,elizabeth-arden,women,3.81,1087,2013.0,white floral,fruity,soft spicy,sweet,"pear, pink pepper, cassis, bergamot, gardenia, egyptian jasmine, amber, musk, patchouli",cheap
armani-prive-fil-rouge,giorgio-armani,women,3.81,36,2016.0,other,other,powdery,iris,"aldehydes, bergamot, iris, angelica, ambergris, white musk",luxury
1921,gucci,unisex,3.81,110,2021.0,citrus,white floral,mossy,fresh,"citron, neroli, lemon verbena, oakmoss",luxury
eau-d-orange-douce,hermes,unisex,3.81,54,2005.0,citrus,other,woody,aromatic,"petitgrain, green notes, neroli, green leaves, orange, mandarin orange, lime (linden) blossom, cedar, sandalwood, patchouli",luxury
classique-summer-fragrance-2008,jean-paul-gaultier,women,3.81,58,2008.0,white floral,citrus,sweet,rose,"clementine, rose, orange blossom, lemon, ylang-ylang, jasmine, lily-of-the-valley, iris, vanilla, amber, musk",luxury
avant,maison-alhambra,men,3.81,26,2022.0,citrus,other,fresh spicy,aromatic,"green notes, bergamot, lemon, black pepper, jasmine, lavender, patchouli, vetiver, musk",cheap
phantom-parfum,paco-rabanne,men,3.81,1018,2023.0,other,other,warm spicy,citrus,"cardamom, bergamot, rhubarb, lemon, lavender, patchouli, cedarwood, geranium, vanilla, tolu balsam, haitian vetiver",luxury
valentina-blush,valentino,women,3.81,586,2017.0,other,other,nutty,cherry,"sour cherry, pink pepper, orange blossom, praline, vanilla",luxury
baby-doll,yves-saint-laurent,women,3.81,3854,2000.0,fruity,other,floral,sweet,"black currant, pineapple, orange, apple, rose, freesia, heliotrope, lily-of-the-valley, vanilla, cedar, sandalwood, tonka bean",luxury
black-opium-neon,yves-saint-laurent,women,3.81,1130,2019.0,white floral,citrus,coffee,vanilla,"pitahaya, mandarin orange, citron, orange blossom, coffee, jasmine sambac, vanilla, musk",luxury
yves-saint-laurent-kouros-silver,yves-saint-laurent,men,3.81,643,2015.0,fruity,other,aromatic,herbal,"apple, sage, amber, woody notes",luxury
michael-kors,michael-kors,women,3.81,714,2004.0,white floral,other,tuberose,animalic,"freesia, chinese osmanthus, incense, tuberose, lily, peony, orris root, musk, cashmere wood, tahitian vetiver",luxury
extreme-rush,michael-kors,men,3.81,52,2019.0,other,other,citrus,woody,"blood orange, juniper, bergamot, red thyme, sage, nutmeg, oakmoss, musk, patchouli",luxury
chemistry,clinique,men,3.81,131,1994.0,other,other,citrus,woody,"mint, neroli, lavender, lemon, ginger, coriander, pepper, cyclamen, musk, oakmoss, sandalwood, cedar, amber",cheap
dkny-nectar-love,donna-karan,women,3.81,1336,2017.0,other,other,fruity,sweet,"solar notes, nectarine, yellow freesia, mandarin orange, grapefruit, mirabelle, jasmine, lily-of-the-valley, beeswax, vanilla, musk, cedar, neroli",cheap
dkny-be-tempted-eau-so-blush,donna-karan,women,3.81,188,2016.0,floral,citrus,fresh,fruity,"magnolia, blood orange, red currant, pink grapefruit, peony, jasmine, cedar, apricot, musk, woody notes",cheap
blue-orchid,lanvin,women,3.81,299,2021.0,other,other,musky,citrus,"lemon, apple, iris, orchid, musk, tonka bean",cheap
marry-me-love-edition,lanvin,women,3.81,275,2012.0,citrus,other,white floral,fruity,"bitter orange, red currant, jasmine, rose, magnolia, musk, virginia cedar",cheap
lanvin-me-l-absolu,lanvin,women,3.81,130,2014.0,floral,fruity,woody,fresh,"mandarin orange, osmanthus, violet leaf, peony, jasmine sambac, peach, patchouli, woody notes, musk",cheap
toque-de-amor,avon,women,3.82,140,1960.0,floral,other,woody,powdery,"aldehydes, bergamot, lemon, water lily, flowers, iris, mimosa, narcissus, green notes, neroli, melon, woodsy notes, oakmoss, musk, amber, benzoin, vanilla, sandalwood",cheap
300-km-h-supersonic,avon,men,3.82,61,2018.0,woody,citrus,fresh spicy,aromatic,"citruses, madagascar pepper, madagascar vetiver, iso e super",cheap
musk-fresh,avon,men,3.82,62,2015.0,other,other,fresh spicy,green,"geranium, cardamom, mint, cinammon, musk, patchouli",cheap
be-on-trend,avon,women,3.82,38,2016.0,citrus,other,amber,lactonic,"bergamot, mandarin orange, rice basmati, jasmine, cashmere wood, amber",cheap
christian-lacroix-noir,avon,men,3.82,181,2007.0,other,woody,powdery,iris,"ginger, saffron, licorice, orris root, cardamom, iris, moss, incense, ambergris, white cedar extract, musk, vetiver, driftwood, aromatic notes",cheap
imari-elixir-2015,avon,women,3.82,711,2015.0,fruity,other,vanilla,rose,"blackberry, green apple, mandarin orange, rose, ylang-ylang, jasmine, vanilla, red amber, patchouli",cheap
perceive-sunshine,avon,women,3.82,145,2019.0,citrus,other,powdery,sweet,"mango, bergamot, mandarin orange, magnolia, mimosa, jasmine, musk, sandalwood",cheap
rare-amethyst,avon,women,3.82,382,2015.0,fruity,other,woody,violet,"plum, violet, sandalwood",cheap
secret-fantasy-midnight,avon,women,3.82,371,2014.0,fruity,other,cherry,woody,"sour cherry, plum, pomegranate, floral notes, musk, amber, woody notes",cheap
surreal-paradise,avon,women,3.82,45,2023.0,fruity,woody,powdery,sweet,"red apple, pear, sicilian bergamot, wild berries, angelica, magnolia, sandalwood, patchouli, musk",cheap
today,avon,women,3.82,4862,2004.0,white floral,other,tuberose,green,"freesia, cactus, stephanotis, tuberose, orange blossom, hibiscus, strelitzia, buddleia, musk, water notes, woody notes, cedar, rose",cheap
blv-eau-de-parfum-ii,bvlgari,women,3.82,1750,2009.0,other,other,violet,anis,"violet, star anise, licorice, mandarin orange, iris, patchouli, vetiver, cotton flower, musk, benzoin, tonka bean, amber, french labdanum",luxury
rose-goldea-blossom-delight-eau-de-toilette,bvlgari,women,3.82,125,2022.0,other,other,fresh,musky,"lily-of-the-valley, grapefruit, rose, peony, white musk, cedar",luxury
dangerously-in-love,by-kilian,unisex,3.82,986,2014.0,other,woody,leather,musky,"cassia, ambrette (musk mallow), pear, turkish rose, virginia cedar, leather, oakmoss, musk",luxury
forbidden-games,by-kilian,women,3.82,1995,2012.0,fruity,other,rose,honey,"peach, apple, plum, cinnamon, bulgarian rose, jasmine, bourbon geranium, honey, vanilla, opoponax",luxury
le-jardin-loulou,cacharel,women,3.82,28,2011.0,white floral,other,amber,warm spicy,"plum, cassis, lily, anise, mimosa, jasmine, cinnamon, iris, violet, tuberose, orange blossom, ylang-ylang, orris root, heliotrope, benzoin, incense, vanilla, sandalwood, musk",cheap
ck-one,calvin-klein,unisex,3.82,16829,1994.0,citrus,other,woody,powdery,"lemon, green notes, bergamot, mandarin orange, pineapple, cardamom, papaya, lily-of-the-valley, jasmine, violet, rose, nutmeg, orris root, freesia, green accord, musk, cedar, sandalwood, oakmoss, green tea, amber",cheap
contradiction,calvin-klein,men,3.82,899,1999.0,other,citrus,woody,fresh spicy,"lime, lavender, lemon, clary sage, mandarin orange, pepper, cardamom, coriander, nutmeg, vetiver, musk, sandalwood, ebony wood",cheap
eternity-aromatic-essence-for-men,calvin-klein,men,3.82,190,2024.0,other,other,fresh spicy,woody,"juniper berries, sichuan pepper, lemon, coconut, lavender, guatemalan cardamom, virginian cedar, patchouli",cheap
eternity-for-men-summer-2012,calvin-klein,men,3.82,93,2012.0,woody,other,aquatic,fresh spicy,"melon, juniper berries, chamomile, hyacinth, mimosa, violet leaf, virginia cedar, guaiac wood, musk, patchouli, amber",cheap
euphoria-essence,calvin-klein,women,3.82,198,2015.0,fruity,other,white floral,floral,"blackberry, raspberry, pink pepper, orchid, jasmine, lily-of-the-valley, white chocolate, patchouli, cashmere wood",cheap
212-ice,carolina-herrera,women,3.82,85,2010.0,citrus,woody,fresh spicy,fruity,"bergamot, grapefruit, wild berries, rose, musk, sandalwood",luxury
212-summer,carolina-herrera,women,3.82,93,2013.0,citrus,fruity,sweet,woody,"bergamot, lemon, mandarin orange, raspberry, ylang-ylang, jasmine, musk, woody notes, saffron, amber",luxury
212-vip-rose-love-ny,carolina-herrera,women,3.82,111,2023.0,other,other,warm spicy,lactonic,"apricot, bergamot, musk, jasmine, milk, patchouli, coffee",luxury
cool-water-caribbean-summer-edition,davidoff,men,3.82,77,2018.0,other,citrus,fresh spicy,green,"lemon, grapefruit, mandarin orange, sage, juniper, basil, mint, sandalwood",cheap
run-wild-for-her,davidoff,women,3.82,245,2019.0,white floral,woody,,,"pomegranate, pistachio, jasmine, lily",cheap
silver-shadow-private,davidoff,men,3.82,156,2008.0,citrus,aromatic,powdery,leather,"bergamot, cardamom, lemon, lavender, violet, leather, musk, woody notes",cheap
i-love-dior,dior,women,3.82,464,2002.0,white floral,fruity,floral,citrus,"magnolia, freesia, mandarin orange, bitter orange, orange, lily-of-the-valley, pear, honeysuckle, rose, lily, raspberry, black currant, musk, cedar, amber",luxury
green-tea,elizabeth-arden,women,3.82,12738,1999.0,citrus,other,aromatic,fresh spicy,"lemon, bergamot, mint, orange peel, rhubarb, jasmine, oakmoss, musk, fennel, carnation, white amber, green tea, jasmine, oakmoss, musk, celery seeds, caraway, cloves, amber",cheap
emporio-armani-diamonds-rose,giorgio-armani,women,3.82,353,2013.0,fruity,other,rose,citrus,"raspberry, black currant, bergamot, rose, freesia, lily-of-the-valley, ambrette (musk mallow), patchouli",luxury
si,giorgio-armani,women,3.82,17074,2013.0,woody,other,aromatic,soft spicy,"cassis, may rose, freesia, vanilla, patchouli, woody notes, ambroxan",luxury
si-passione-red-maestro,giorgio-armani,women,3.82,119,2019.0,other,fruity,vanilla,soft spicy,"black currant, pink pepper, solar notes, jasmine, musk, vanilla",luxury
gucci-bloom-nettare-di-fiori,gucci,women,3.82,1523,2018.0,white floral,other,fruity,floral,"ginger, rose, tuberose, jasmine, honeysuckle, rangoon creeper, musk, osmanthus, patchouli",luxury
gucci-guilty-eau-pour-homme,gucci,men,3.82,611,2015.0,citrus,other,iris,fresh,"lemon, bergamot, orris, snowberry, orange blossom, musk, patchouli",luxury
eau-de-basilic-pourpre,hermes,unisex,3.82,438,2022.0,other,aromatic,citrus,green,"bergamot, basil, geranium, spices, patchouli",luxury
kokorico-by-night,jean-paul-gaultier,men,3.82,349,2012.0,other,other,sweet,warm spicy,"bergamot, cacao pod, fig leaf, rhubarb, tonka bean, woody notes",luxury
tuberose,jo-malone-london,women,3.82,99,1991.0,white floral,other,woody,animalic,"african orange flower, tuberose, jasmine, peach, sandalwood, oakmoss",luxury
waterlily-cologne,jo-malone-london,unisex,3.82,177,2020.0,floral,white floral,aquatic,fresh,"neroli, water lily, jasmine sambac, white musk",luxury
tropical-cherimoya-cologne,jo-malone-london,unisex,3.82,287,2018.0,fruity,other,floral,amber,"passion flower, pear, cherimoya, tonka bean, copahu balm",luxury
blackberry-bay-cologne,jo-malone-london,unisex,3.82,67,2021.0,fruity,other,woody,camphor,"blackberry, bay leaf, cedar",luxury
it-s-sunny-hunny,juicy-couture,women,3.82,50,2021.0,citrus,white floral,fruity,amber,"blood orange, italian lemon, bergamot, honeysuckle, jasmine, peony, amber, sandalwood, musk",cheap
ser-hubbee,lattafa-perfumes,women,3.82,50,2022.0,floral,other,almond,fruity,"cyclamen, almond, orange, jasmine, amaryllis, peony, vanilla, musk",cheap
paco-rabanne-pour-elle,paco-rabanne,women,3.82,620,2003.0,floral,white floral,fruity,fresh spicy,"freesia, pepper, mandarin orange, plum, pink pepper, apricot, jasmine, rose, karo-korund, ylang-ylang, tiare flower, peach, amber, massoia, sandalwood, white musk",luxury
black-xs-los-angeles-for-him,paco-rabanne,men,3.82,106,2016.0,citrus,aromatic,sweet,fruity,"orange, clary sage, lemon, cinnamon, apple, pineapple, lily-of-the-valley, woody notes, coumarin, vanila, oakmoss",luxury
prada-candy-night,prada,women,3.82,1452,2019.0,other,other,chocolate,warm spicy,"iris, bitter orange, neroli, vanilla, tonka bean, chocolate, patchouli",luxury
la-collection-y,yves-saint-laurent,women,3.82,224,2011.0,other,other,woody,citrus,"bergamot, spices, white flowers, iris, pink pepper, oak moss, patchouli",luxury
kors,michael-kors,women,3.82,165,2003.0,woody,other,sweet,white floral,"pomegranate, cognac, artemisia, sicilian bergamot, clementine, red wine, red berries, rose, ylang-ylang, chamomile, jasmine, incense, brazilian rosewood, musk, tolu balsam, ambroxan",luxury
simply-clinique,clinique,women,3.82,835,2004.0,other,other,musky,aquatic,"melon, white flowers, soybean, vanilla, white musk, woody notes",cheap
dkny-women-limited-edition-eau-de-toilette-2010,donna-karan,women,3.82,38,2010.0,floral,fruity,warm spicy,cinnamon,"black currant, african orange flower, cherry blossom, orchid, freesia, osmanthus, cinnamon, patchouli, musk",cheap
sweet-desire-by-realities,liz-claiborne,women,3.82,60,2007.0,fruity,other,floral,woody,"black currant, litchi, bergamot, lemon, mimosa, orange blossom, rose, jasmine, honey, patchouli, vanilla, sandalwood, amber, musk",cheap
300-km-h-nitro,avon,men,3.83,76,,other,aromatic,amber,fresh spicy,"mint, pink pepper, lavender, sage, ginger, watery notes, cardamom, nutmeg, vetiver, cashmeran, amberwood",cheap
iris-fetiche,avon,unisex,3.83,475,2020.0,other,other,vanilla,woody,"green notes, pepper, bergamot, iris flower, jasmine, rose, vanilla, amber, sandalwood",cheap
imari-fantasy,avon,women,3.83,459,2017.0,woody,other,caramel,white floral,"pear, pink pepper, italian mandarin, caramel, hazelnut, jasmine sambac, orange blossom, vanilla, patchouli, cashmere wood",cheap
morena-flor,avon,women,3.83,313,2001.0,woody,other,patchouli,powdery,"green notes, bitter orange, mandarin orange, patchouli, jasmine, moss, vanilla, sandalwood, musk",cheap
neo-evolution,avon,men,3.83,29,2013.0,other,other,fresh spicy,amber,"tamarind, rosemary, black pepper, violet leaf, lotus, jasmine, ambroxan, milk mousse, vetiver",cheap
pur-blanca-hope,avon,women,3.83,94,2022.0,other,other,powdery,yellow floral,"flowers, fruits, mimosa, musk",cheap
summer-white-maldives,avon,women,3.83,103,2021.0,other,other,fruity,woody,"acai berry, sea salt, driftwood",cheap
titanium-dynamic,avon,men,3.83,46,2007.0,other,woody,citrus,aromatic,"citruses, black pepper, cognac, lavender, mate, violet, cedar, cassis, tobacco, leather, musk",cheap
today-tomorrow-always-daydream,avon,women,3.83,362,2015.0,white floral,other,sweet,herbal,"immortelle, ginger, cassis, gardenia, jasmine sambac, orange blossom, sandalwood, honey, musk",cheap
riva-solare,bvlgari,women,3.83,137,2021.0,citrus,other,white floral,powdery,"calabrian bergamot, orange blossom, osmanthus, mandarin orange, musk",luxury
bvlgari-man-terrae-essence,bvlgari,men,3.83,1204,2021.0,other,citrus,woody,amber,"citron, calamansi, vetiver, orris, earthy notes, styrax",luxury
anais-anais-l-original-eau-de-toilette,cacharel,women,3.83,2103,2014.0,white floral,other,floral,earthy,"hyacinth, honeysuckle, lily, lily-of-the-valley, jasmine, ylang-ylang, rose, moss, musk, vetiver, sandalwood, black currant",cheap
ck-one-chinese-new-year-edition,calvin-klein,unisex,3.83,66,2020.0,citrus,other,violet,fresh spicy,"bergamot, cardamom, pineapple, papaya, green tea, violet, white rose, nutmeg, musk, amber",cheap
eternity-for-men-summer-2014,calvin-klein,men,3.83,70,2014.0,other,other,fresh spicy,ozonic,"watermelon, pear, basil, juniper berries, lavender, thyme, cardamom, sandalwood, musk, amber",cheap
eternity-intense,calvin-klein,women,3.83,582,2016.0,other,other,woody,earthy,"orris, watery notes, bergamot, iris, osmanthus, rose, vanilla, musk, sandalwood",cheap
euphoria,calvin-klein,women,3.83,20735,2005.0,woody,other,sweet,powdery,"pomegranate, persimmon, green accord, black orchid, lotus, champaca, mahogany, amber, black violet, whipped cream",cheap
euphoria-eau-de-toilette,calvin-klein,women,3.83,800,2009.0,floral,other,woody,sweet,"peach, bergamot, green notes, orchid, lotus, honeysuckle, champaca, sandalwood, amber",cheap
212-sexy,carolina-herrera,women,3.83,6363,2004.0,other,other,musky,soft spicy,"pink pepper, mandarin orange, bergamot, cotton candy, gardenia, flowers, pelargonium, rose, vanilla, musk, sandalwood, caramel, violet, patchouli",luxury
echo-woman,davidoff,women,3.83,1525,2004.0,floral,other,powdery,violet,"vodka, white musk, peony, violet, osmanthus, iris, woody notes, crystal amber, cinnamon",cheap
green-tea-exotic,elizabeth-arden,women,3.83,398,2009.0,citrus,white floral,green,floral,"black tea, lime, bergamot, green tea, lily, orchid, jasmine, narcissus, woodsy notes, amber",cheap
green-tea-lotus,elizabeth-arden,women,3.83,662,2008.0,floral,other,ozonic,citrus,"yuzu, cherry blossom, plum, lotus, tea, lily, osmanthus, birch, musk",cheap
sunflowers-summer-bloom,elizabeth-arden,women,3.83,268,2014.0,floral,other,aquatic,powdery,"water lily, pear, ivy, hortensia, violet, jasmine, vanilla, musk, cedar",cheap
acqua-di-gioia-essenza,giorgio-armani,women,3.83,1045,2011.0,other,white floral,green,aromatic,"mint, amalfi lemon, pink pepper, jasmine, sugar, cashmeran, virginia cedar",luxury
flora-gorgeous-gardenia-limited-edition-2018,gucci,women,3.83,115,2018.0,fruity,other,floral,white floral,"pear, red berries, frangipani, gardenia, jasmine, patchouli, brown sugar",luxury
english-pear-freesia,jo-malone-london,women,3.83,6458,2010.0,floral,fruity,sweet,rose,"pear, melon, freesia, rose, musk, patchouli, rhuburb, amber",luxury
silk-blossom,jo-malone-london,unisex,3.83,95,2022.0,floral,other,mossy,fruity,"white pepper, silk tree blossom, moss",luxury
orange-peel-cologne,jo-malone-london,unisex,3.83,83,2021.0,citrus,woody,,,"orange peel, bitter orange, cashmere wood",luxury
couture-couture,juicy-couture,women,3.83,2773,2009.0,white floral,fruity,citrus,sweet,"african orange flower, mandarin orange, grapefruit, plum, jasmine, honeysuckle, amber, vanilla, sandalwood",cheap
i-am-juicy-couture,juicy-couture,women,3.83,827,2015.0,other,fruity,floral,amber,"raspberry, passionfruit, pomelo, gardenia, sweet pea, heliotrope, rose, amber, musk, cashmere wood",cheap
couture-la-la-malibu,juicy-couture,women,3.83,310,2013.0,citrus,fruity,fresh,floral,"mandarin orange, guava, green apple, rose petals, black currant, peony, lily-of-the-valley, orange blossom, frangipani, sugar, musk, white wood",cheap
safwaan-l-autre-oud,lattafa-perfumes,unisex,3.83,40,2023.0,woody,other,warm spicy,amber,"rose, spicy notes, amber, woody notes, oud",cheap
black-xs-be-a-legend-debbie-harry,paco-rabanne,women,3.83,253,2014.0,woody,other,vanilla,warm spicy,"hellebore flower, white rose, saffron, patchouli, agarwood (oud), black vanilla husk, amyris",luxury
olympea-parfum,paco-rabanne,women,3.83,186,2024.0,white floral,other,amber,soft spicy,"clary sage, green accord, pink pepper, jasmine, orange blossom, rose oil, vanilla, benzoin, musk",luxury
prada-la-femme-intense,prada,women,3.83,1065,2017.0,white floral,woody,tuberose,floral,"ylang-ylang, frangipani, tuberose, jasmine sambac, orange blossom, patchouli, vanila, iris, vetiver",luxury
michael-kors-pour-homme,michael-kors,men,3.83,30,2024.0,other,other,fresh spicy,amber,"bergamot, lavender, pink pepper, sea water, geranium, sage, ambergris, patchouli, vetiver",luxury
michael-sheer,michael-kors,women,3.83,131,2003.0,white floral,aromatic,woody,citrus,"bergamot, sea water, mandarin orange, amalfi lemon, tuberose, jasmine, lily-of-the-valley, ylang-ylang, honeysuckle, marigold, rose, cassis, clove, geranium, amber, musk, heliotrope, vetiver, sandalwood, virginia cedar",luxury
wave-2-for-him,hollister,men,3.83,210,2017.0,other,aromatic,ozonic,woody,"ozonic notes, bergamot, white pepper, lavender, geranium, sage, musk, sandalwood, woody notes",cheap
dkny-be-delicious-sparkling-apple,donna-karan,women,3.83,156,2012.0,fruity,other,white floral,green,"green apple, champagne, red currant, rose, lily-of-the-valley, violet leaf, gardenia, magnolia, sandalwood, ambergris",cheap
cashmere-aura,donna-karan,women,3.83,170,2016.0,woody,other,musky,citrus,"aldehydes, orange oil, ylang-ylang, acácia, cassis, musk, woodsy notes, vanilla",cheap
dkny-women-gold,donna-karan,women,3.83,84,2011.0,other,fruity,white floral,floral,"mango, peach, mandarin orange, frangipani, lily, jasmine, musk, vanille",cheap
a-girl-in-capri,lanvin,women,3.83,1512,2019.0,citrus,aromatic,marine,,"italian lemon, bergamot, grapefruit blossom, sea notes, white musk, driftwood, amber",cheap
marry-me-confettis,lanvin,women,3.83,75,2015.0,fruity,other,white floral,fresh,"red berries, blackberry, black currant, jasmine, peach, musk, white woods",cheap
black,kenneth-cole,women,3.83,882,2004.0,white floral,other,powdery,tuberose,"violet, citruses, white flowers, tuberose, jasmine, hiacynth, magnolia, lily-of-the-valley, lotus, ylang-ylang, iris, musk, sandalwood, amber",cheap
kenneth-cole-vintage-black,kenneth-cole,men,3.83,494,2009.0,citrus,aromatic,fresh spicy,woody,"lime, grapefruit, green notes, tequila, lavender, pepper, oak, sandalwood",cheap
mankind-ultimate,kenneth-cole,men,3.83,89,2015.0,woody,other,fresh,earthy,"watery notes, citruses, cucumber, vetiver, flowers, cashmere wood, sandalwood, oakmoss, tonka bean, musk",cheap
black-pearls,elizabeth-taylor,women,3.83,759,1996.0,other,woody,amber,floral,"peach, gardenia, bergamot, white rose, lotus, water lily, amber, sandalwood, musk",cheap
bond-girl-007,avon,women,3.84,879,2008.0,white floral,other,floral,powdery,"peach, orange blossom, ambrette (musk mallow), jasmine, freesia, orchid, musk, patchouli, amber, cashmeran",cheap
attitude-fashion,avon,women,3.84,62,2016.0,floral,woody,citrus,vanilla,"citruses, floral notes, sandalwood, vanilla",cheap
sparkling-attitude,avon,women,3.84,217,2016.0,woody,other,powdery,fruity,"citruses, floral fruity notes, sandalwood, vanilla",cheap
outspoken-party-by-fergie,avon,women,3.84,222,2015.0,other,fruity,lactonic,woody,"raspberry, peony, creme brulee, sandalwood",cheap
powerful-flowers-violeta,avon,women,3.84,87,2020.0,other,other,floral,woody,"bergamot, violet, patchouli",cheap
rare-gold,avon,women,3.84,1660,1995.0,white floral,woody,sweet,yellow floral,"ylang-ylang, peach, mandarin orange, bergamot, tuberose, aldehydes, jasmine, orange blossom, gardenia, lily-of-the-valley, amber, sandalwood, vanilla, woodsy notes, musk",cheap
urban-flowers-tokyo,avon,women,3.84,170,2008.0,fruity,other,floral,fresh,"pineapple, mango, cherry blossom, jasmine, passionfruit, vanilla, sandalwood, musk",cheap
wish-of-luck,avon,women,3.84,194,,other,fruity,citrus,green,"green apple, citruses, cyclamen, water lily, cassia, musk, vanilla, woody notes",cheap
sunset-fantasy,britney-spears,women,3.84,512,2017.0,fruity,other,sweet,lactonic,"italian mandarin, apple, blood grapefruit, peach, raspberry leaf, orange blossom, milk mousse, vanilla, amber, australian sandalwood",cheap
blv-eau-d-ete,bvlgari,women,3.84,333,2010.0,other,other,amber,fresh spicy,"mint, amalfi lemon, iris, cinnamon, amber, resin, fir, benzoin",luxury
aqva-divina,bvlgari,women,3.84,2181,2015.0,citrus,other,salty,warm spicy,"salt, ginger, bergamot, quince, magnolia, woody notes, beeswax, amber",luxury
goldea-the-roman-night-absolute,bvlgari,women,3.84,492,2018.0,white floral,fruity,sweet,vanilla,"plum, orange blossom, madagascar vanilla, jasmine sambac, patchouli, black musk, moss",luxury
omnia-indian-garnet,bvlgari,women,3.84,1641,2014.0,citrus,fruity,woody,floral,"mandarin orange, orange, indian saffron, osmanthus, indian tuberose, woodsy notes, amber",luxury
splendida-rose-rose,bvlgari,women,3.84,435,2017.0,other,fruity,woody,musky,"blackberry, mandarin orange, damask rose, musk, patchouli, sandalwood, vetiver",luxury
fun-things-always-happen-after-sunset,by-kilian,unisex,3.84,893,2019.0,fruity,other,tropical,rose,"black currant, green notes, litchi, rose, musk, patchouli",luxury
kologne-shield-of-protection,by-kilian,unisex,3.84,322,2022.0,citrus,aromatic,woody,fresh spicy,"green mandarin, bitter orange, mint, rosemary, petitgrain, neroli, cedar, green sap, cashmere wood",luxury
